"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"203889_at",-0.708351205378294,9.78595644925328,0,0.826413216077121,1,"203889_at"
"212242_at",-0.660830676348056,8.58952075420866,0,0.827191332536997,1,"212242_at"
"33767_at",-0.604575394183719,8.45272024697595,0,0.828370779326558,1,"33767_at"
"202917_s_at",-0.619258947277847,6.17583061420848,0,0.828606525966682,1,"202917_s_at"
"204141_at",-0.696863553338897,11.0830832662597,0,0.828844896151481,1,"204141_at"
"202376_at",0.524848781747238,10.0388656389778,0,0.829325559250797,1,"202376_at"
"200883_at",-0.669371016846813,6.48268658094055,0,0.831024638755725,1,"200883_at"
"219140_s_at",-0.70019394707654,6.1483896326953,0,0.832223865621193,1,"219140_s_at"
"36711_at",0.513606316072725,7.43025850590777,0,0.833768417544255,1,"36711_at"
"205825_at",-0.649316110316616,6.05265044525788,0,0.835897791572008,1,"205825_at"
"202018_s_at",0.692552903283706,6.29706248530843,0,0.837360431716435,1,"202018_s_at"
"214432_at",-0.507243890176669,7.87182266041435,0,0.838592757983037,1,"214432_at"
"218224_at",-0.687902999152488,8.2212055220031,0,0.838696169204826,1,"218224_at"
"211755_s_at",-0.696568764781849,9.34676888795391,0,0.838892327467727,1,"211755_s_at"
"208321_s_at",-0.711752993066627,7.99439915600807,0,0.839366338448188,1,"208321_s_at"
"213744_at",-0.778303064252036,7.06619887013823,0,0.839511821793462,1,"213744_at"
"208898_at",-0.749371889542591,8.99975624801158,0,0.839859956817307,1,"208898_at"
"218824_at",-0.650347595517259,8.79792120325925,0,0.842703847850616,1,"218824_at"
"212624_s_at",-0.710104179612275,11.4552983143982,0,0.842905300554786,1,"212624_s_at"
"202228_s_at",-0.640682135087413,10.5894390031588,0,0.843533167554481,1,"202228_s_at"
"203680_at",-0.710704963720436,8.19649315729435,0,0.847056113708534,1,"203680_at"
"206384_at",-0.756288572537544,8.53358371798791,0,0.848403367845538,1,"206384_at"
"202508_s_at",-0.64320378807694,11.1914263813551,0,0.849108250944358,1,"202508_s_at"
"206857_s_at",-0.747784233969293,8.70555660215254,0,0.850000732783441,1,"206857_s_at"
"221504_s_at",-0.675046261542684,8.94678503245939,0,0.851397288411952,1,"221504_s_at"
"214321_at",-0.663773948328881,6.99035531760699,0,0.851459556135422,1,"214321_at"
"201341_at",-0.682463367008461,10.7590891563656,0,0.852916235144066,1,"201341_at"
"202166_s_at",-0.690209901498596,5.73055920139266,0,0.853281530153155,1,"202166_s_at"
"208899_x_at",-0.728759941557396,7.5480098332609,0,0.855028928594363,1,"208899_x_at"
"217717_s_at",-0.659661283036122,8.13467799047032,0,0.855581577819019,1,"217717_s_at"
"205728_at",-0.743759703728639,5.87672623323744,0,0.856160774389292,1,"205728_at"
"213089_at",0.65923352869048,8.2597936551073,0,0.856672733277544,1,"213089_at"
"205856_at",0.672656249911974,7.20880259236596,0,0.857015957548067,1,"205856_at"
"218163_at",-0.740528664245745,6.59581644383341,0,0.858272009006008,1,"218163_at"
"200738_s_at",-0.669329951593731,8.96937299897019,0,0.859708208747882,1,"200738_s_at"
"214874_at",-0.771845735620887,7.95206851259506,0,0.859781272238614,1,"214874_at"
"216231_s_at",-0.551648115887753,10.3141972950488,0,0.85993415000944,1,"216231_s_at"
"214157_at",-0.7514302037721,7.37836288373463,0,0.860999775181677,1,"214157_at"
"215440_s_at",-0.659628740554195,8.90363898203691,0,0.862764922272463,1,"215440_s_at"
"201089_at",-0.638761352607233,9.06541453474037,0,0.862988621036854,1,"201089_at"
"200703_at",-0.661807853734313,11.0770051311393,0,0.863466859081043,1,"200703_at"
"200881_s_at",-0.601697440211595,8.09280614189897,0,0.864431138267172,1,"200881_s_at"
"201595_s_at",-0.660163427564293,7.88425621217535,0,0.864925842183551,1,"201595_s_at"
"209159_s_at",-0.685048055609416,10.1036002388689,0,0.866021730583268,1,"209159_s_at"
"206850_at",-0.722387450595603,8.36207146578818,0,0.866570910749263,1,"206850_at"
"212976_at",-0.648035945250497,5.81985661047384,0,0.866781734949612,1,"212976_at"
"208892_s_at",-0.701720104516127,6.69274944430278,0,0.869516751562479,1,"208892_s_at"
"209372_x_at",-0.642869146303148,7.17004283031019,0,0.869586999950337,1,"209372_x_at"
"205279_s_at",-0.68059885012254,5.52522369651722,0,0.86971023858733,1,"205279_s_at"
"214896_at",-0.658588616217701,7.51232634881131,0,0.869710528380611,1,"214896_at"
"204723_at",-0.67033516957707,9.39821739208984,0,0.870263148311134,1,"204723_at"
"204014_at",-0.480988425084002,6.03706016848314,0,0.870818468544239,1,"204014_at"
"221646_s_at",0.670203381716973,7.65910271571805,0,0.872031272317484,1,"221646_s_at"
"205029_s_at",-0.608182912275311,6.54366037765885,0,0.872120810728627,1,"205029_s_at"
"221727_at",-0.624749048139504,8.20028867626236,0,0.873202992048993,1,"221727_at"
"203817_at",-0.685389511804875,8.89704861421289,0,0.873541503745951,1,"203817_at"
"202581_at",-0.474290240066821,8.65590369218781,0,0.874547785592922,1,"202581_at"
"208687_x_at",-0.561018156168009,9.39843455363909,0,0.874764671419354,1,"208687_x_at"
"217028_at",0.492372205366266,6.16963607787926,0,0.874866501655655,1,"217028_at"
"208652_at",-0.674655201003283,8.72237284766315,0,0.875381066282009,1,"208652_at"
"219090_at",-0.510954114842461,8.83624510519689,0,0.87564513529672,1,"219090_at"
"221217_s_at",-0.653099271400727,9.34687856575526,0,0.87701707127817,1,"221217_s_at"
"202169_s_at",-0.6066681577769,9.12355626249699,0,0.877384911215877,1,"202169_s_at"
"204762_s_at",-0.679745376738383,7.77338727421613,0,0.877493704317584,1,"204762_s_at"
"219896_at",-0.579728378013963,7.92261652231157,0,0.877498881037389,1,"219896_at"
"203333_at",-0.638357079681785,7.66825902466232,0,0.878077629095601,1,"203333_at"
"205399_at",-0.585823024207125,8.9028320492681,0,0.878724911438689,1,"205399_at"
"219449_s_at",-0.71340574848589,8.16289905782187,0,0.878767373581908,1,"219449_s_at"
"217140_s_at",-0.656025963385177,5.79815113338671,0,0.878906312655385,1,"217140_s_at"
"212820_at",-0.616270552186213,7.59129947425016,0,0.879436085318229,1,"212820_at"
"200853_at",-0.60240359250206,7.25864096231814,0,0.880349972467013,1,"200853_at"
"215303_at",-0.61149688210073,5.96618524780816,0,0.881104171951426,1,"215303_at"
"214120_at",-0.730565279008544,7.88401077080801,0,0.881916439561206,1,"214120_at"
"205978_at",-0.636817592347763,4.93996752788903,0,0.884266578999262,1,"205978_at"
"200806_s_at",-0.504227401967092,7.61830854600801,0,0.884517977946933,1,"200806_s_at"
"203510_at",-0.647577192945919,6.27856020492582,0,0.885037242299994,1,"203510_at"
